-8,86257 C1; 44,31285 C2; 25860,77 X6;
-8,906879 C1; 44,5344 C2; 25860,78 X6;
-8,951189 C1; 44,75595 C2; 25860,79 X6;
-8,995499 C1; 44,9775 C2; 25860,8 X6;
-9,039807 C1; 45,19904 C2; 25860,81 X6;
-9,084118 C1; 45,42059 C2; 25860,81 X6;
-9,128427 C1; 45,64214 C2; 25860,82 X6;
-9,172736 C1; 45,86368 C2; 25860,83 X6;
-9,217047 C1; 46,08523 C2; 25860,84 X6;
-9,261355 C1; 46,30678 C2; 25860,85 X6;
-9,305665 C1; 46,52833 C2; 25860,85 X6;
-9,349975 C1; 46,74988 C2; 25860,86 X6;
-9,394283 C1; 46,97142 C2; 25860,87 X6;
-9,438592 C1; 47,19297 C2; 25860,88 X6;
-9,482903 C1; 47,41452 C2; 25860,89 X6;
-9,52721 C1; 47,63605 C2; 25860,9 X6;
-9,571521 C1; 47,85761 C2; 25860,9 X6;
-9,615829 C1; 48,07915 C2; 25860,91 X6;
-9,660139 C1; 48,3007 C2; 25860,92 X6;
-9,704448 C1; 48,52224 C2; 25860,93 X6;
-9,748757 C1; 48,74379 C2; 25860,94 X6;
-9,793066 C1; 48,96533 C2; 25860,95 X6;
-9,837375 C1; 49,18688 C2; 25860,95 X6;
-9,881683 C1; 49,40842 C2; 25860,96 X6;
-9,925993 C1; 49,62997 C2; 25860,97 X6;
-9,970302 C1; 49,85151 C2; 25860,98 X6;
-10,01461 C1; 50,07305 C2; 25860,99 X6;
-10,058919 C1; 50,2946 C2; 25861,0 X6;
-10,103228 C1; 50,51614 C2; 25861,01 X6;
-10,147537 C1; 50,73769 C2; 25861,01 X6;
-10,191846 C1; 50,95923 C2; 25861,02 X6;
-10,236155 C1; 51,18078 C2; 25861,03 X6;
-10,280464 C1; 51,40232 C2; 25861,04 X6;
-10,324772 C1; 51,62386 C2; 25861,05 X6;
-10,369081 C1; 51,84541 C2; 25861,06 X6;
-10,413389 C1; 52,06695 C2; 25861,07 X6;
-10,457698 C1; 52,28849 C2; 25861,08 X6;
-10,502006 C1; 52,51003 C2; 25861,09 X6;
-10,546316 C1; 52,73158 C2; 25861,1 X6;
-10,590624 C1; 52,95312 C2; 25861,1 X6;
-10,634933 C1; 53,17467 C2; 25861,11 X6;
-10,679239 C1; 53,3962 C2; 25861,12 X6;
-10,723549 C1; 53,61775 C2; 25861,13 X6;
-10,767857 C1; 53,83929 C2; 25861,14 X6;
-10,812166 C1; 54,06083 C2; 25861,15 X6;
-10,856475 C1; 54,28237 C2; 25861,16 X6;
-10,900783 C1; 54,50391 C2; 25861,17 X6;
-10,945091 C1; 54,72546 C2; 25861,18 X6;
-10,989399 C1; 54,947 C2; 25861,19 X6;
-11,033707 C1; 55,16854 C2; 25861,2 X6;
-11,078015 C1; 55,39008 C2; 25861,21 X6;
-11,122323 C1; 55,61162 C2; 25861,22 X6;
-11,166631 C1; 55,83316 C2; 25861,23 X6;
-11,210939 C1; 56,0547 C2; 25861,24 X6;
-11,255247 C1; 56,27624 C2; 25861,25 X6;
-11,299557 C1; 56,49779 C2; 25861,26 X6;
-11,343864 C1; 56,71932 C2; 25861,27 X6;
-11,388172 C1; 56,94086 C2; 25861,28 X6;
-11,432481 C1; 57,16241 C2; 25861,29 X6;
-11,476788 C1; 57,38394 C2; 25861,3 X6;
-11,521095 C1; 57,60548 C2; 25861,31 X6;
-11,565401 C1; 57,82701 C2; 25861,32 X6;
-11,609711 C1; 58,04856 C2; 25861,33 X6;
-11,654016 C1; 58,27009 C2; 25861,34 X6;
-11,698326 C1; 58,49163 C2; 25861,35 X6;
-11,742634 C1; 58,71317 C2; 25861,36 X6;
-11,78694 C1; 58,9347 C2; 25861,37 X6;
-11,831247 C1; 59,15624 C2; 25861,38 X6;
-11,875557 C1; 59,37779 C2; 25861,39 X6;
-11,919863 C1; 59,59932 C2; 25861,4 X6;
-11,964172 C1; 59,82086 C2; 25861,41 X6;
-12,008478 C1; 60,0424 C2; 25861,42 X6;
-12,052786 C1; 60,26393 C2; 25861,43 X6;
-12,097094 C1; 60,48547 C2; 25861,44 X6;
-12,1414 C1; 60,70701 C2; 25861,45 X6;
-12,185709 C1; 60,92855 C2; 25861,46 X6;
-12,230015 C1; 61,15008 C2; 25861,47 X6;
-12,274323 C1; 61,37162 C2; 25861,49 X6;
-12,318629 C1; 61,59315 C2; 25861,5 X6;
-12,362938 C1; 61,81469 C2; 25861,51 X6;
-12,407245 C1; 62,03622 C2; 25861,52 X6;
-12,451552 C1; 62,25776 C2; 25861,53 X6;
-12,495859 C1; 62,4793 C2; 25861,54 X6;
-12,540165 C1; 62,70083 C2; 25861,55 X6;
-12,584473 C1; 62,92237 C2; 25861,56 X6;
-12,628779 C1; 63,1439 C2; 25861,57 X6;
-12,673087 C1; 63,36544 C2; 25861,58 X6;
-12,717394 C1; 63,58697 C2; 25861,59 X6;
-12,7617 C1; 63,8085 C2; 25861,6 X6;
-12,806005 C1; 64,03003 C2; 25861,61 X6;
-12,850313 C1; 64,25157 C2; 25861,63 X6;
-12,89462 C1; 64,4731 C2; 25861,64 X6;
-12,938928 C1; 64,69464 C2; 25861,65 X6;
-12,983232 C1; 64,91616 C2; 25861,66 X6;
-13,027539 C1; 65,1377 C2; 25861,67 X6;
-13,071846 C1; 65,35923 C2; 25861,68 X6;
-13,116152 C1; 65,58077 C2; 25861,7 X6;
-13,160459 C1; 65,80229 C2; 25861,71 X6;
-13,204765 C1; 66,02383 C2; 25861,72 X6;
-13,249073 C1; 66,24536 C2; 25861,73 X6;
-13,293379 C1; 66,46689 C2; 25861,74 X6;
-13,337687 C1; 66,68843 C2; 25861,76 X6;
-13,381991 C1; 66,90996 C2; 25861,76 X6;
-13,426296 C1; 67,13149 C2; 25861,78 X6;
-13,470603 C1; 67,35302 C2; 25861,79 X6;
-13,51491 C1; 67,57455 C2; 25861,8 X6;
-13,559216 C1; 67,79608 C2; 25861,81 X6;
-13,603521 C1; 68,01761 C2; 25861,82 X6;
-13,647827 C1; 68,23914 C2; 25861,84 X6;
-13,692133 C1; 68,46067 C2; 25861,85 X6;
-13,736439 C1; 68,68219 C2; 25861,86 X6;
-13,780746 C1; 68,90373 C2; 25861,87 X6;
-13,82505 C1; 69,12525 C2; 25861,88 X6;
-13,869356 C1; 69,34678 C2; 25861,9 X6;
-13,913662 C1; 69,56832 C2; 25861,91 X6;
-13,957968 C1; 69,78984 C2; 25861,92 X6;
-14,002275 C1; 70,01137 C2; 25861,93 X6;
-14,046581 C1; 70,23291 C2; 25861,94 X6;
-14,090885 C1; 70,45442 C2; 25861,96 X6;
